
Upper bound 926 after 1 search tree nodes
MaschineNo   1 :   82   2  24  63  53  15  75  46  38 100 
MaschineNo   2 :   81  61  22  51  32  95  74   7  49  20 
MaschineNo   3 :   93  64  42  54  36  18  30   9  79  90 
MaschineNo   4 :   41  11  62  94  72   4  85  34  28  60 
MaschineNo   5 :   91  21  52   3  84  33  68  17  47  80 
MaschineNo   6 :   71  14  27  86   8  99  48  59  70  40 
MaschineNo   7 :    1  13  26  43  73  96  56  37  69  89 
MaschineNo   8 :   83  25  66   5  45  97  57  76  39  19 
MaschineNo   9 :   92  23  67   6  16  35  88  77  58  50 
MaschineNo  10 :   31  12  65  44  55  87  29  98  78  10 

Upper bound 867 after 108 search tree nodes
MaschineNo   1 :   82   2  63  24  53  15  75  46  38 100 
MaschineNo   2 :   81  61  22  51  32  95  74   7  49  20 
MaschineNo   3 :   93  64  42  54  36  18  30  79   9  90 
MaschineNo   4 :   41  62  11  72  94   4  85  34  28  60 
MaschineNo   5 :   91  21  52   3  84  33  68  17  47  80 
MaschineNo   6 :   71  14  86  27   8  99  59  48  70  40 
MaschineNo   7 :    1  13  73  43  26  96  56  37  69  89 
MaschineNo   8 :   83  25  66   5  45  97  76  57  39  19 
MaschineNo   9 :   92  23  67  16   6  35  88  77  58  50 
MaschineNo  10 :   31  12  65  44  55  87  29  98  78  10 

Upper bound 863 after 109 search tree nodes
MaschineNo   1 :   82   2  63  24  53  15  46  75  38 100 
MaschineNo   2 :   81  61  22  51  32  95  74   7  49  20 
MaschineNo   3 :   93  64  42  54  36  30  18  79   9  90 
MaschineNo   4 :   41  62  11  72  94   4  85  34  28  60 
MaschineNo   5 :   91  21  52   3  84  33  68  47  17  80 
MaschineNo   6 :   71  14  86  27  48   8  99  59  70  40 
MaschineNo   7 :    1  13  73  43  26  96  56  37  69  89 
MaschineNo   8 :   83  25  66  45   5  97  76  57  39  19 
MaschineNo   9 :   92  23  67  16   6  35  88  77  58  50 
MaschineNo  10 :   31  12  65  44  55  87  29  98  78  10 

Upper bound 862 after 113 search tree nodes
MaschineNo   1 :   82   2  24  63  53  75  46  15  38 100 
MaschineNo   2 :   81  61  22  51  32  74  95   7  49  20 
MaschineNo   3 :   42  93  64  54  36  30  18  79   9  90 
MaschineNo   4 :   41  72  62  85  11  94   4  34  28  60 
MaschineNo   5 :   91  21  84  52   3  33  47  68  17  80 
MaschineNo   6 :   71  86  27  14   8  99  48  59  70  40 
MaschineNo   7 :    1  43  73  26  13  96  56  37  69  89 
MaschineNo   8 :   83  25  45   5  66  97  76  57  39  19 
MaschineNo   9 :   92  23  88   6  35  67  16  77  58  50 
MaschineNo  10 :   31  44  12  87  65  55  29  98  78  10 

Upper bound 860 after 114 search tree nodes
MaschineNo   1 :   82   2  24  53  63  46  75  15  38 100 
MaschineNo   2 :   81  51  22  61  32  74  95   7  49  20 
MaschineNo   3 :   42  93  54  64  36  30  18  79   9  90 
MaschineNo   4 :   41  72  62  85  11  94   4  34  28  60 
MaschineNo   5 :   21  91  52  84   3  33  47  68  17  80 
MaschineNo   6 :   71  86  27  14  48   8  99  59  70  40 
MaschineNo   7 :    1  43  73  26  13  56  96  37  69  89 
MaschineNo   8 :   83  25  45   5  66  97  76  57  39  19 
MaschineNo   9 :   23  92  88   6  35  67  16  77  58  50 
MaschineNo  10 :   31  44  12  87  55  65  29  98  78  10 

Upper bound 859 after 119 search tree nodes
MaschineNo   1 :   82   2  24  63  15  53  46  75  38 100 
MaschineNo   2 :   81  61  22  51  32  95  74   7  49  20 
MaschineNo   3 :   42  93  64  54  18  36  30  79   9  90 
